"Serviço","EC2-Outros($)","EC2-Instâncias($)","SageMaker($)","Athena($)","S3($)","CloudShell($)","Glue($)","Key Management Service($)","DataZone($)","VPC($)","CloudWatch($)","Tax($)","QuickSight($)","Custos totais($)"
"Total de Serviço","0.2069535721","0.2016321951","0.118313649","0.003815","0.0020866515","0","0","0","0","0","0","0","0","0.5328010677"
"2023-11-29","","","","","0.0000372","","","","","","","","","0.0000372"
"2023-11-30","0.0155556414","0.0251543075","0.0135495516","","0.0003605967","0","0","0","0","0","0","","","0.0546200972"
"2023-12-01","0.0258064512","","0.0225806448","","0.0000401795","","0","","","","0","0","","0.0484272755"
"2023-12-02","0.0258064512","","0.0219520107","","0.0000661795","","0","0","0","","0","","","0.0478246414"
"2023-12-03","0.0258064512","","","","0.0000401795","","0","","","","0","","","0.0258466307"
"2023-12-04","0.0258065074","0.1463855504","0.0144457232","","0.0001607795","","0","","0","0","0","","","0.1867985605"
"2023-12-05","0.0258064512","0.00203","0.0225806448","","0.0000843795","","0","","","0","0","","","0.0505014755"
"2023-12-06","0.0258064512","","0.0225806448","0.00077","0.000560946","","0","","0","","0","","0","0.049718042"
"2023-12-07","0.0258064793","0.0116","0.0006244291","0.003045","0.0007346113","","0","","0","0","0","","0","0.0418105197"
"2023-12-08","0.010752688","0.0164623372","","","0.0000016","","0","","","0","0","","0","0.0272166252"
"2023-12-09","","","","","","","","","","","","","","0"